10
4 5
3 1 0.7
4 3 0.4
2 3 0.8
2 4 0.9
4 4 0.2
2 1
2 1 0.3
3 2
1 2 0.2
3 1 1.0
6 9
1 5 0.8
2 1 0.7
3 2 1.0
4 1 0.3
6 5 0.9
6 5 0.3
1 4 0.4
3 2 0.1
5 4 0.5
9 22
2 8 1.0
4 2 0.6
7 4 0.9
6 2 0.7
9 7 0.4
3 4 1.0
1 2 0.8
5 2 0.1
6 8 1.0
9 4 0.2
9 4 0.2
6 4 0.4
1 8 0.8
5 2 1.0
6 8 0.3
5 4 0.4
5 3 0.9
7 5 0.7
3 5 0.3
3 5 0.8
9 4 0.2
3 7 1.0
6 12
5 2 1.0
6 2 0.1
4 6 0.5
1 6 0.6
3 6 0.3
1 5 0.8
6 5 0.2
3 6 0.9
4 6 0.8
6 6 0.6
2 2 0.7
6 4 0.1
8 20
5 6 0.4
8 6 0.2
3 8 0.5
1 5 0.9
2 3 0.3
4 6 0.4
7 8 1.0
2 8 0.9
4 8 0.3
4 6 0.4
7 4 0.7
3 5 0.1
6 8 0.4
4 6 0.4
3 8 0.5
6 4 0.2
5 4 0.4
4 4 0.5
1 8 1.0
1 4 0.6
25 39
9 3 0.5
5 3 0.1
22 3 0.1
1 3 0.6
10 9 1.0
15 10 0.5
8 1 0.7
12 5 1.0
13 1 0.2
20 8 0.6
25 22 0.7
14 9 0.1
6 5 0.1
2 13 0.1
23 15 0.8
18 1 0.8
4 2 1.0
17 10 0.7
11 18 0.1
16 4 0.3
21 16 0.9
24 3 0.9
7 12 0.9
19 9 0.7
8 20 0.9
3 8 1.0
11 17 0.9
14 9 0.4
1 6 0.4
6 4 0.4
13 16 0.8
25 2 0.2
12 5 0.2
12 18 0.1
12 10 0.4
2 23 0.5
1 11 0.8
19 17 0.9
24 12 0.3
14 46
10 2 0.9
8 2 0.7
1 2 1.0
4 8 0.9
9 1 0.5
3 1 0.2
11 8 0.2
14 10 0.9
12 2 1.0
7 3 0.6
6 4 0.6
13 12 1.0
5 8 0.3
5 9 0.5
7 1 1.0
14 2 0.9
5 5 0.6
6 14 0.6
12 5 0.6
11 11 0.4
13 5 0.7
1 10 0.2
3 6 0.5
13 5 0.2
4 8 0.2
7 9 0.6
3 6 0.7
3 14 0.3
14 10 0.2
10 5 0.1
11 5 0.5
4 12 0.6
11 11 0.7
8 6 0.4
8 6 0.7
6 8 0.5
13 5 1.0
1 6 0.1
4 12 1.0
8 5 0.6
11 5 0.2
1 9 0.6
14 12 0.7
10 7 0.6
5 11 1.0
14 9 0.1
32 460
3 32 1.0
14 32 0.1
15 32 0.7
22 3 0.2
28 32 0.8
16 14 0.6
11 14 0.8
29 3 0.7
4 3 0.8
25 22 0.8
24 14 0.4
21 32 1.0
19 25 0.5
18 11 0.2
9 4 0.7
12 29 0.7
30 21 0.9
5 21 0.2
20 21 0.1
23 29 0.1
7 23 0.9
26 11 0.4
2 26 0.4
13 14 0.7
1 11 0.5
27 23 0.3
10 14 0.3
6 21 0.4
8 12 0.2
17 32 0.9
31 27 0.6
20 22 0.3
22 24 0.9
22 29 0.1
6 17 0.3
6 30 0.8
2 11 0.6
15 28 0.1
1 11 0.6
23 31 0.5
4 16 0.5
21 28 0.7
23 16 1.0
30 25 0.4
25 30 0.2
1 24 0.9
22 19 0.4
32 22 0.3
27 29 0.1
28 10 0.3
22 9 0.8
24 7 0.6
25 32 0.8
29 18 0.9
7 4 0.5
5 7 0.2
25 6 0.5
7 17 0.4
14 6 0.3
2 18 0.9
25 8 0.9
14 16 0.3
28 22 0.4
30 11 0.4
2 31 0.4
32 8 0.1
29 21 0.3
30 17 0.7
28 19 0.8
30 6 0.7
25 7 0.9
4 24 0.8
24 11 0.6
26 24 0.8
2 30 1.0
1 24 0.5
32 9 0.3
20 18 0.9
30 25 0.1
1 6 0.7
28 16 1.0
5 26 0.1
7 22 1.0
25 12 1.0
3 29 1.0
30 15 1.0
8 6 0.5
13 26 0.9
22 7 0.8
24 6 0.8
18 20 0.1
23 15 0.8
20 22 0.1
8 11 0.7
8 17 0.5
18 30 0.1
15 6 0.9
14 28 0.5
2 21 0.6
12 6 1.0
32 14 0.2
5 7 0.4
14 6 0.7
29 23 0.4
5 7 0.7
10 17 0.1
14 7 0.2
17 32 0.2
10 25 0.4
21 17 0.4
11 6 0.2
32 12 0.7
13 28 0.4
2 31 0.9
11 32 0.8
17 23 0.6
21 27 0.3
18 16 0.7
26 11 0.1
10 32 0.5
19 18 0.9
7 31 0.4
21 10 0.9
28 27 0.2
14 27 1.0
7 19 0.2
1 18 0.1
24 6 0.6
32 29 0.2
12 6 0.7
18 26 0.6
17 29 0.2
15 6 0.2
19 28 0.5
1 24 0.1
11 27 0.9
10 12 1.0
25 6 0.7
20 24 1.0
2 12 0.6
23 12 0.6
7 11 0.6
22 25 1.0
25 15 1.0
11 9 0.3
28 9 1.0
16 32 1.0
5 7 0.5
6 9 0.8
24 6 0.4
15 17 0.6
18 6 0.2
29 31 0.2
23 6 0.5
22 29 1.0
10 13 0.9
27 21 0.6
32 31 0.9
24 9 0.6
28 6 0.7
31 22 1.0
22 15 0.7
1 7 0.7
24 10 0.7
20 16 0.7
12 12 0.6
5 15 0.5
31 16 0.9
24 20 0.2
4 27 0.6
20 15 0.3
2 26 0.5
24 14 0.4
30 20 0.4
5 29 0.7
9 6 0.2
10 6 0.8
9 31 0.1
28 19 0.5
6 9 0.1
16 13 0.2
25 6 0.6
26 6 1.0
14 16 0.7
23 16 0.6
14 12 1.0
3 9 0.8
7 9 0.4
10 8 0.6
32 27 0.7
16 6 0.6
7 27 0.2
13 12 0.2
30 32 0.6
6 26 0.2
3 21 0.2
20 13 0.2
24 6 0.1
2 11 0.3
17 30 0.3
17 19 0.9
9 6 1.0
32 8 0.2
18 30 0.5
19 26 0.5
27 17 0.1
10 28 0.2
7 31 0.6
24 18 0.9
28 16 0.9
32 13 0.9
26 18 0.5
27 17 0.9
19 23 0.6
5 31 0.8
25 24 0.8
13 6 0.7
29 9 0.1
11 9 0.6
16 20 0.5
2 31 0.5
29 12 0.6
17 25 0.1
5 7 0.1
13 7 0.9
22 17 0.3
12 6 0.6
17 23 0.4
31 22 0.1
3 25 0.5
26 18 0.3
10 12 0.6
20 11 0.8
24 13 0.9
29 6 0.1
24 30 0.4
11 14 0.9
24 6 0.6
12 8 0.3
4 24 0.6
4 6 0.3
23 7 0.5
18 8 0.5
28 19 0.3
21 25 0.2
18 26 0.7
21 6 0.6
27 22 0.4
28 20 0.2
17 8 0.2
12 6 1.0
4 17 0.9
19 6 0.1
24 31 0.6
12 6 0.9
5 13 0.5
6 19 0.5
15 20 0.9
15 8 0.7
25 27 0.2
20 9 0.3
7 16 0.6
2 19 0.9
3 28 0.4
1 16 0.2
25 27 0.3
25 7 0.5
16 6 0.7
28 27 0.6
32 16 0.6
12 6 0.8
1 10 0.2
3 26 0.9
30 6 0.4
14 7 0.6
21 9 0.1
32 14 0.4
9 11 1.0
17 8 0.1
11 27 0.7
6 24 1.0
8 6 0.4
27 22 0.9
29 17 0.6
23 7 0.8
18 20 0.8
15 24 0.7
3 11 0.4
28 13 1.0
17 24 0.7
32 19 0.4
6 11 0.7
5 22 0.5
31 31 1.0
6 17 0.2
16 6 0.5
28 24 0.8
2 14 0.4
21 14 0.5
31 31 0.6
2 18 0.1
23 25 0.9
8 18 0.3
20 22 1.0
16 6 0.4
13 28 0.6
8 29 0.2
22 16 0.7
30 23 0.9
12 26 0.8
22 29 0.3
7 20 1.0
1 22 0.9
27 24 0.1
28 16 0.9
6 8 0.6
12 27 0.2
29 18 0.2
28 11 0.2
10 8 0.9
3 19 0.2
30 27 0.6
32 30 1.0
30 18 0.3
12 6 0.6
12 31 0.9
19 11 0.4
2 21 0.8
16 6 0.9
8 31 1.0
25 23 0.8
16 13 0.9
28 24 0.1
7 24 0.8
31 6 0.7
14 12 0.8
8 26 0.7
26 16 0.3
1 31 0.1
25 12 0.2
21 28 0.3
22 6 0.4
23 7 0.3
7 11 0.9
7 21 0.9
24 27 0.5
25 23 0.3
31 15 0.9
25 6 0.8
32 12 0.7
28 6 0.9
